Timestamp,Method,Latency_ms,Energy,Sparsity_pct
16:13:09,DIS,0.36,0.0000,0.00
16:13:09,DIS,2.36,0.0807,0.00
16:13:10,DIS,2.57,0.1012,0.00
16:13:10,DIS,3.16,0.4444,3.41
16:13:11,DIS,2.26,1.6741,32.06
16:13:11,DIS,2.14,0.6072,21.64
16:13:12,DIS,2.09,0.1238,0.00
16:13:13,DIS,2.13,0.1937,0.00
16:13:13,DIS,2.66,0.1174,0.00
16:13:14,DIS,2.39,0.1167,0.00
16:13:14,DIS,2.46,0.1186,0.00
16:13:15,DIS,2.27,0.0938,0.00
16:13:15,DIS,2.50,0.1253,0.00
16:13:16,DIS,2.06,0.0899,0.00
16:13:16,DIS,1.74,0.8129,16.81
16:13:17,DIS,2.48,0.2605,0.00
16:13:17,DIS,2.33,0.1235,0.00
16:13:18,DIS,2.08,1.2198,25.75
16:13:18,DIS,2.05,0.9289,28.02
16:13:19,DIS,2.02,0.9668,26.77
16:13:19,DIS,2.03,2.3719,34.64
16:13:20,DIS,1.78,0.4745,17.87
16:13:20,DIS,2.45,0.6237,20.98
16:13:21,DIS,2.11,1.8828,47.01
16:13:21,DIS,2.91,0.1995,0.00
16:13:22,DIS,2.17,0.7088,25.66
16:13:22,DIS,1.80,0.8724,31.27
16:13:23,DIS,3.72,1.1293,26.33
16:13:23,DIS,1.88,1.4582,30.96
16:13:24,DIS,2.16,2.0123,32.35
16:13:24,DIS,2.01,0.1427,0.00
16:13:25,DIS,1.83,0.2195,0.00
16:13:25,DIS,2.31,0.3502,12.33
16:13:26,DIS,2.39,0.1074,0.00
16:13:26,DIS,2.10,0.1659,0.00
16:13:27,DIS,1.87,0.2782,7.17
16:13:28,DIS,1.99,0.1258,0.00
16:13:28,DIS,1.92,2.4418,35.14
16:13:29,TVL1,63.06,1.5697,23.89
16:13:29,TVL1,63.89,0.5053,14.21
16:13:30,TVL1,59.29,0.3468,8.81
16:13:30,TVL1,67.38,3.3721,28.81
16:13:31,TVL1,59.67,2.7257,45.65
16:13:32,TVL1,59.68,5.0254,46.88
16:13:32,TVL1,67.23,1.8004,12.61
16:13:33,TVL1,59.54,2.6762,23.97
16:13:33,TVL1,70.74,5.7939,60.38
16:13:34,TVL1,61.06,2.0879,24.45
16:13:34,TVL1,70.35,0.6713,15.56
16:13:35,TVL1,56.85,0.1568,0.00
16:13:36,TVL1,62.46,5.4314,30.50
16:13:36,TVL1,98.16,3.4338,53.91
16:13:37,TVL1,59.69,0.6098,11.58
16:13:37,TVL1,67.40,2.4690,19.34
16:13:38,TVL1,64.04,0.2236,3.00
16:13:38,TVL1,57.73,0.1185,0.69
16:13:39,TVL1,76.98,0.5703,17.09
16:13:40,TVL1,58.01,0.0943,0.00
16:13:40,TVL1,73.85,3.3174,30.04
16:13:41,TVL1,73.92,2.4657,61.31
16:13:41,FARNEBACK,7.19,0.2249,8.92
16:13:42,FARNEBACK,6.09,0.1322,0.00
16:13:42,FARNEBACK,5.05,1.4698,16.29
16:13:43,FARNEBACK,5.03,4.1091,24.76
16:13:43,FARNEBACK,5.08,0.1824,1.40
16:13:44,FARNEBACK,5.30,2.3479,25.60
16:13:44,FARNEBACK,7.37,1.3381,21.42
16:13:45,FARNEBACK,6.48,3.1604,38.16
16:13:45,FARNEBACK,5.05,1.1187,26.62
16:13:46,FARNEBACK,5.07,0.4152,9.48
16:13:47,FARNEBACK,7.77,6.5642,50.65
16:13:47,FARNEBACK,6.30,0.8610,34.50
16:13:48,FARNEBACK,6.48,0.1984,0.00
